"","CHR","start","end","BinFilterFlag","GC","exondensity","FRS"
"chr1_0","chr1",1,50000,0,0.484,28,0.237532578365392
"chr1_1","chr1",50001,100000,0,0.377,1,0.170794264517945
"chr1_2","chr1",100001,150000,0,0.43,6,0.17793433407351
"chr1_3","chr1",150001,200000,0,0.447,0,0.186874111150481
"chr1_4","chr1",200001,250000,0,0.411,0,0.184543447512744
"chr1_5","chr1",250001,300000,0,0.367,0,0.17989131736307
"chr1_6","chr1",300001,350000,0,0.438,9,0.17019753878109
"chr1_7","chr1",350001,400000,0,0.379,1,0.165001770952958
"chr1_8","chr1",400001,450000,0,0.456,3,0.181009914008438
"chr1_9","chr1",450001,500000,0,0.449,0,0.190327829982565
"chr1_10","chr1",500001,550000,0,0.51,0,0.198563524566688
"chr1_11","chr1",550001,600000,0,0.411,4,0.188374562349827
"chr1_12","chr1",600001,650000,0,0.378,1,0.16647178016598
"chr1_13","chr1",650001,700000,0,0.46,15,0.181905317950454
"chr1_14","chr1",700001,750000,0,0.419,7,0.229122120374946
"chr1_15","chr1",750001,800000,0,0.463,9,0.195225577423077
"chr1_16","chr1",800001,850000,0,0.493,5,0.193015230160438
"chr1_17","chr1",850001,900000,0,0.639,54,0.185493904867436
"chr1_18","chr1",900001,950000,1,0.595,29,0.196904569681175
"chr1_19","chr1",950001,1000000,0,0.647,44,0.1948078673288
"chr1_20","chr1",1000001,1050000,1,0.585,17,0.197069914296551
"chr1_21","chr1",1050001,1100000,0,0.622,5,0.187375773979123
"chr1_22","chr1",1100001,1150000,1,0.609,37,0.183815398575413
"chr1_23","chr1",1150001,1200000,0,0.619,22,0.192461134408758
"chr1_24","chr1",1200001,1250000,0,0.63,71,0.202953499804325
"chr1_25","chr1",1250001,1300000,1,0.64,51,0.198552705284001
"chr1_26","chr1",1300001,1350000,1,0.534,31,0.226115569817598
"chr1_27","chr1",1350001,1400000,0,0.59,22,0.183706427491769
"chr1_28","chr1",1400001,1450000,0,0.567,21,0.196955405184279
"chr1_29","chr1",1450001,1500000,0,0.587,26,0.190021366908494
"chr1_30","chr1",1500001,1550000,1,0.539,7,0.199864288001022
"chr1_31","chr1",1550001,1600000,0,0.589,55,0.202988830695559
"chr1_32","chr1",1600001,1650000,0,0.552,36,0.1991849993237
"chr1_33","chr1",1650001,1700000,0,0.538,36,0.209033761063113
"chr1_34","chr1",1700001,1750000,1,0.491,12,0.208542458298768
"chr1_35","chr1",1750001,1800000,1,0.453,2,0.193002198718388
"chr1_36","chr1",1800001,1850000,1,0.537,9,0.207493513083874
"chr1_37","chr1",1850001,1900000,1,0.57,23,0.18448635643283
"chr1_38","chr1",1900001,1950000,1,0.539,15,0.176648246702773
"chr1_39","chr1",1950001,2000000,1,0.587,13,0.171905492428348
"chr1_40","chr1",2000001,2050000,1,0.575,3,0.174044264792219
"chr1_41","chr1",2050001,2100000,1,0.549,7,0.207726429915066
"chr1_42","chr1",2100001,2150000,1,0.604,27,0.195488093876106
"chr1_43","chr1",2150001,2200000,1,0.556,1,0.207807569815071
"chr1_44","chr1",2200001,2250000,0,0.612,6,0.197451087632435
"chr1_45","chr1",2250001,2300000,1,0.581,9,0.17735068663143
"chr1_46","chr1",2300001,2350000,1,0.574,24,0.198998465280628
"chr1_47","chr1",2350001,2400000,1,0.625,0,0.181841938380695
"chr1_48","chr1",2400001,2450000,0,0.644,36,0.164452161630801
"chr1_49","chr1",2450001,2500000,0,0.625,27,0.211848736652438
"chr1_50","chr1",2500001,2550000,1,0.562,35,0.192996134894518
"chr1_51","chr1",2550001,2600000,0,0.576,5,0.197713566902806
"chr1_52","chr1",2600001,2650000,0,0.622,0,0.198330587251198
"chr1_53","chr1",2650001,2700000,0,0.539,0,0.21779163129931
"chr1_54","chr1",2700001,2750000,1,0.578,4,0.172107639735156
"chr1_55","chr1",2750001,2800000,1,0.566,0,0.174336628673543
"chr1_56","chr1",2800001,2850000,1,0.598,0,0.165360579809605
"chr1_57","chr1",2850001,2900000,1,0.55,0,0.169125870862352
"chr1_58","chr1",2900001,2950000,1,0.542,1,0.169714972170786
"chr1_59","chr1",2950001,3000000,1,0.55,9,0.166003356071746
"chr1_60","chr1",3000001,3050000,0,0.592,1,0.160889323320581
"chr1_61","chr1",3050001,3100000,0,0.574,0,0.184816737359172
"chr1_62","chr1",3100001,3150000,0,0.569,1,0.163740519855675
"chr1_63","chr1",3150001,3200000,0,0.567,1,0.164261072710421
"chr1_64","chr1",3200001,3250000,0,0.567,0,0.175102474889788
"chr1_65","chr1",3250001,3300000,1,0.572,0,0.167026080849979
"chr1_66","chr1",3300001,3350000,1,0.582,14,0.162192722605539
"chr1_67","chr1",3350001,3400000,1,0.584,20,0.172864506022463
"chr1_68","chr1",3400001,3450000,1,0.618,34,0.18730043930661
"chr1_69","chr1",3450001,3500000,1,0.621,2,0.170585125079733
"chr1_70","chr1",3500001,3550000,1,0.59,14,0.197764652676665
"chr1_71","chr1",3550001,3600000,1,0.552,11,0.192442747374008
"chr1_72","chr1",3600001,3650000,1,0.622,14,0.173417068968503
"chr1_73","chr1",3650001,3700000,1,0.552,27,0.18189338837097
"chr1_74","chr1",3700001,3750000,1,0.51,16,0.187555771708677
"chr1_75","chr1",3750001,3800000,1,0.492,24,0.196768043389704
"chr1_76","chr1",3800001,3850000,0,0.526,12,0.192383226170112
"chr1_77","chr1",3850001,3900000,0,0,0,NA
"chr1_78","chr1",3900001,3950000,0,0,0,NA
"chr1_79","chr1",3950001,4000000,0,0.47,0,0.169020576178678
"chr1_80","chr1",4000001,4050000,1,0.51,3,0.163086616040454
"chr1_81","chr1",4050001,4100000,1,0.483,0,0.17532630995599
"chr1_82","chr1",4100001,4150000,1,0.513,0,0.174648833815874
"chr1_83","chr1",4150001,4200000,1,0.497,0,0.169453774157765
"chr1_84","chr1",4200001,4250000,1,0.503,0,0.1727397057069
"chr1_85","chr1",4250001,4300000,1,0.44,0,0.170273538682347
"chr1_86","chr1",4300001,4350000,1,0.425,0,0.169127409691693
"chr1_87","chr1",4350001,4400000,1,0.5,0,0.19973343228605
"chr1_88","chr1",4400001,4450000,1,0.49,0,0.172170505669734
"chr1_89","chr1",4450001,4500000,1,0.464,6,0.169911186290719
"chr1_90","chr1",4500001,4550000,1,0.483,0,0.164202983825731
"chr1_91","chr1",4550001,4600000,1,0.474,0,0.167765156815255
"chr1_92","chr1",4600001,4650000,1,0.443,0,0.169378442267112
"chr1_93","chr1",4650001,4700000,1,0.517,0,0.176674183775373
"chr1_94","chr1",4700001,4750000,1,0.512,1,0.17286882017568
"chr1_95","chr1",4750001,4800000,1,0.544,1,0.161876232895289
"chr1_96","chr1",4800001,4850000,1,0.51,6,0.168786996807262
"chr1_97","chr1",4850001,4900000,1,0.442,0,0.166437463292718
"chr1_98","chr1",4900001,4950000,1,0.432,0,0.171666733162167
"chr1_99","chr1",4950001,5000000,1,0.462,0,0.176053924601205
"chr1_100","chr1",5000001,5050000,1,0.47,0,0.171018248370875
"chr1_101","chr1",5050001,5100000,1,0.421,0,0.170939425012175
"chr1_102","chr1",5100001,5150000,1,0.398,0,0.168162662724537
"chr1_103","chr1",5150001,5200000,1,0.422,0,0.173936020417946
"chr1_104","chr1",5200001,5250000,1,0.444,0,0.173489548339834
"chr1_105","chr1",5250001,5300000,1,0.418,0,0.172242387628589
"chr1_106","chr1",5300001,5350000,1,0.484,0,0.172945333997062
"chr1_107","chr1",5350001,5400000,1,0.456,0,0.175989682043463
"chr1_108","chr1",5400001,5450000,1,0.471,0,0.171785180808324
"chr1_109","chr1",5450001,5500000,1,0.49,0,0.175212359179138
"chr1_110","chr1",5500001,5550000,1,0.494,0,0.164137130938582
"chr1_111","chr1",5550001,5600000,1,0.489,0,0.168697556387382
"chr1_112","chr1",5600001,5650000,1,0.427,3,0.168888202316351
"chr1_113","chr1",5650001,5700000,1,0.45,0,0.167681900807871
"chr1_114","chr1",5700001,5750000,1,0.495,1,0.171825860970993
"chr1_115","chr1",5750001,5800000,1,0.496,0,0.171521094124791
"chr1_116","chr1",5800001,5850000,1,0.516,0,0.168607861518006
"chr1_117","chr1",5850001,5900000,1,0.509,0,0.177030736401319
"chr1_118","chr1",5900001,5950000,1,0.561,20,0.164667330874857
"chr1_119","chr1",5950001,6000000,1,0.474,8,0.170625886266586
"chr1_120","chr1",6000001,6050000,1,0.489,8,0.182115927679264
"chr1_121","chr1",6050001,6100000,1,0.557,4,0.19492330125519
"chr1_122","chr1",6100001,6150000,1,0.553,10,0.188118171285217
"chr1_123","chr1",6150001,6200000,1,0.563,38,0.176555736297597
"chr1_124","chr1",6200001,6250000,1,0.565,16,0.176205253839302
"chr1_125","chr1",6250001,6300000,1,0.524,31,0.192270255353515
"chr1_126","chr1",6300001,6350000,1,0.596,13,0.173177659355645
"chr1_127","chr1",6350001,6400000,1,0.533,5,0.178009439534567
"chr1_128","chr1",6400001,6450000,1,0.523,4,0.183966852066381
"chr1_129","chr1",6450001,6500000,0,0.547,10,0.18300743703934
"chr1_130","chr1",6500001,6550000,0,0.603,48,0.179553270922633
"chr1_131","chr1",6550001,6600000,1,0.539,11,0.17864909351564
"chr1_132","chr1",6600001,6650000,1,0.524,26,0.198824964499852
"chr1_133","chr1",6650001,6700000,1,0.543,25,0.204984078330874
"chr1_134","chr1",6700001,6750000,1,0.46,9,0.181885545937413
"chr1_135","chr1",6750001,6800000,1,0.472,1,0.183276518833417
"chr1_136","chr1",6800001,6850000,1,0.467,1,0.185053272464852
"chr1_137","chr1",6850001,6900000,1,0.403,2,0.17991364566171
"chr1_138","chr1",6900001,6950000,1,0.413,2,0.176059960473675
"chr1_139","chr1",6950001,7000000,1,0.475,0,0.189009532825184
"chr1_140","chr1",7000001,7050000,1,0.503,0,0.172913298209295
"chr1_141","chr1",7050001,7100000,1,0.457,0,0.164524578088639
"chr1_142","chr1",7100001,7150000,1,0.493,0,0.173301501321186
"chr1_143","chr1",7150001,7200000,1,0.476,1,0.186075107062836
"chr1_144","chr1",7200001,7250000,1,0.454,0,0.179063894553053
"chr1_145","chr1",7250001,7300000,1,0.453,0,0.170907647443117
"chr1_146","chr1",7300001,7350000,1,0.434,1,0.166303364390892
"chr1_147","chr1",7350001,7400000,1,0.441,0,0.163772728878654
"chr1_148","chr1",7400001,7450000,1,0.506,0,0.164557271010431
"chr1_149","chr1",7450001,7500000,1,0.489,0,0.167753169281814
"chr1_150","chr1",7500001,7550000,1,0.547,1,0.162639977431879
"chr1_151","chr1",7550001,7600000,1,0.532,0,0.174141848483841
"chr1_152","chr1",7600001,7650000,1,0.527,0,0.180862352783712
"chr1_153","chr1",7650001,7700000,1,0.52,0,0.171884813033799
"chr1_154","chr1",7700001,7750000,1,0.569,7,0.177668317017876
"chr1_155","chr1",7750001,7800000,1,0.473,5,0.181241930277335
"chr1_156","chr1",7800001,7850000,1,0.419,20,0.190721157169842
"chr1_157","chr1",7850001,7900000,1,0.402,19,0.181908695379084
"chr1_158","chr1",7900001,7950000,1,0.45,9,0.181232369097044
"chr1_159","chr1",7950001,8000000,1,0.443,9,0.184457094305533
"chr1_160","chr1",8000001,8050000,1,0.462,10,0.201093763903424
"chr1_161","chr1",8050001,8100000,1,0.435,5,0.184612107622224
"chr1_162","chr1",8100001,8150000,1,0.433,0,0.173773640246847
"chr1_163","chr1",8150001,8200000,1,0.441,0,0.181524171153999
"chr1_164","chr1",8200001,8250000,1,0.462,0,0.177581360813348
"chr1_165","chr1",8250001,8300000,1,0.492,0,0.179048388520517
"chr1_166","chr1",8300001,8350000,1,0.466,0,0.171770520436195
"chr1_167","chr1",8350001,8400000,1,0.49,8,0.17036528534121
"chr1_168","chr1",8400001,8450000,1,0.513,13,0.2030199988128
"chr1_169","chr1",8450001,8500000,1,0.432,2,0.201513300250167
"chr1_170","chr1",8500001,8550000,1,0.422,2,0.186910095572598
"chr1_171","chr1",8550001,8600000,1,0.424,4,0.184724798870503
"chr1_172","chr1",8600001,8650000,1,0.39,3,0.179974614754632
"chr1_173","chr1",8650001,8700000,0,0.401,2,0.186990082508094
"chr1_174","chr1",8700001,8750000,1,0.403,1,0.180076460778712
"chr1_175","chr1",8750001,8800000,1,0.409,0,0.18262209821523
"chr1_176","chr1",8800001,8850000,1,0.407,1,0.177042686224322
"chr1_177","chr1",8850001,8900000,1,0.436,2,0.183147870509232
"chr1_178","chr1",8900001,8950000,1,0.497,16,0.209517999287874
"chr1_179","chr1",8950001,9000000,1,0.469,0,0.195834215124615
"chr1_180","chr1",9000001,9050000,1,0.482,10,0.188895713975342
