"","CHR","start","end","BinFilterFlag","GC","exondensity","FRS"
"chr1_0",NA,NA,NA,0,0.484,28,0.237532578365392
"chr1_1","chr1",50001,100000,0,0.377,1,0.170794264517945
"chr1_2","chr1",100001,150000,0,0.43,6,0.17793433407351
"chr1_3",NA,NA,NA,0,0.447,0,0.186874111150481
"chr1_4",NA,NA,NA,0,0.411,0,0.184543447512744
"chr1_5",NA,NA,NA,0,0.367,0,0.17989131736307
"chr1_6",NA,NA,NA,0,0.438,9,0.17019753878109
"chr1_7","chr1",419336,469335,0,0.379,1,0.165001770952958
"chr1_8","chr1",369336,419335,0,0.456,3,0.181009914008438
"chr1_9",NA,NA,NA,0,0.449,0,0.190327829982565
"chr1_10",NA,NA,NA,0,0.51,0,0.198563524566688
"chr1_11","chr1",614621,664620,0,0.411,4,0.188374562349827
"chr1_12","chr1",664621,714620,0,0.378,1,0.16647178016598
"chr1_13","chr1",714621,764620,0,0.46,15,0.181905317950454
"chr1_14","chr1",764621,814620,0,0.419,7,0.229122120374946
"chr1_15","chr1",814621,864620,0,0.463,9,0.195225577423077
"chr1_16","chr1",864621,914620,0,0.493,5,0.193015230160438
"chr1_17","chr1",914621,964620,0,0.639,54,0.185493904867436
"chr1_18","chr1",964621,1014620,1,0.595,29,0.196904569681175
"chr1_19","chr1",1014621,1064620,0,0.647,44,0.1948078673288
"chr1_20","chr1",1064621,1114620,1,0.585,17,0.197069914296551
"chr1_21","chr1",1114621,1164620,0,0.622,5,0.187375773979123
"chr1_22","chr1",1164621,1214620,1,0.609,37,0.183815398575413
"chr1_23","chr1",1214621,1264620,0,0.619,22,0.192461134408758
"chr1_24","chr1",1264621,1314620,0,0.63,71,0.202953499804325
"chr1_25","chr1",1314621,1364620,1,0.64,51,0.198552705284001
"chr1_26","chr1",1364621,1414620,1,0.534,31,0.226115569817598
"chr1_27","chr1",1414621,1464620,0,0.59,22,0.183706427491769
"chr1_28","chr1",1464621,1514620,0,0.567,21,0.196955405184279
"chr1_29","chr1",1514621,1564620,0,0.587,26,0.190021366908494
"chr1_30","chr1",1564621,1614620,1,0.539,7,0.199864288001022
"chr1_31","chr1",1614621,1668561,0,0.589,55,0.202988830695559
"chr1_32","chr1",1668562,1718561,0,0.552,36,0.1991849993237
"chr1_33","chr1",1718562,1768561,0,0.538,36,0.209033761063113
"chr1_34","chr1",1768562,1818561,1,0.491,12,0.208542458298768
"chr1_35","chr1",1818562,1868561,1,0.453,2,0.193002198718388
"chr1_36","chr1",1868562,1918561,1,0.537,9,0.207493513083874
"chr1_37","chr1",1918562,1968561,1,0.57,23,0.18448635643283
"chr1_38","chr1",1968562,2018561,1,0.539,15,0.176648246702773
"chr1_39","chr1",2018562,2068561,1,0.587,13,0.171905492428348
"chr1_40","chr1",2068562,2118561,1,0.575,3,0.174044264792219
"chr1_41","chr1",2118562,2168561,1,0.549,7,0.207726429915066
"chr1_42","chr1",2168562,2218561,1,0.604,27,0.195488093876106
"chr1_43","chr1",2218562,2268561,1,0.556,1,0.207807569815071
"chr1_44","chr1",2268562,2318561,0,0.612,6,0.197451087632435
